mass1,mass2,chirp_mass,peak_snr,peak_time
15.0,15.0,13.05825844944186,5.76209529470749,24.32470703125
17.857142857142858,15.0,14.236917881282526,5.687124471183652,24.01171875
17.857142857142858,17.142857142857142,15.230827468062374,7.014416075648848,24.0107421875
20.714285714285715,15.0,15.305528804870114,6.816855776805303,24.010498046875
20.714285714285715,17.142857142857142,16.390127582113152,7.793041938960512,24.01025390625
20.714285714285715,19.285714285714285,17.39768311120596,7.566177927663227,24.009033203125
23.57142857142857,15.0,16.286702113306074,7.816266662739127,24.010009765625
23.57142857142857,17.142857142857142,17.45549231375903,6.889756201119795,24.009521484375
23.57142857142857,19.285714285714285,18.54250209137673,9.940918125309905,24.009521484375
23.57142857142857,21.42857142857143,19.56072606837209,9.463380675034045,24.008544921875
23.57142857142857,23.57142857142857,20.52012042055149,9.35901444668995,24.00830078125
26.42857142857143,15.0,17.19645695290399,7.202483460417646,24.009033203125
26.42857142857143,17.142857142857142,18.443943229362553,9.990632397267447,24.009033203125
26.42857142857143,19.285714285714285,19.605379912344866,9.079421822113593,24.00830078125
26.42857142857143,21.42857142857143,20.694302401596484,8.83163118021357,24.008056640625
26.42857142857143,23.57142857142857,21.721096982608756,10.468183326073909,24.009033203125
26.42857142857143,25.714285714285715,22.693941300694892,12.117374784174434,24.00830078125
29.285714285714285,15.0,18.046605190952278,9.973227681030217,24.009033203125
29.285714285714285,17.142857142857142,19.368070267139547,9.253518588826987,24.008056640625
29.285714285714285,19.285714285714285,20.599598431082242,8.71829514926581,24.008056640625
29.285714285714285,21.42857142857143,21.75521408804373,10.93395166165172,24.0087890625
29.285714285714285,23.57142857142857,22.84569099460256,12.135163686212774,24.008056640625
29.285714285714285,25.714285714285715,23.879522251467034,13.718517097464787,24.0078125
29.285714285714285,27.857142857142858,24.863544743312108,14.050603518111862,24.007568359375
32.14285714285714,15.0,18.846133461911524,9.608136001964587,24.008056640625
32.14285714285714,17.142857142857142,20.237478457729832,9.062209248766276,24.0078125
32.14285714285714,19.285714285714285,21.535315157002042,11.074999633118065,24.008544921875
32.14285714285714,21.42857142857143,22.75411625989145,12.23591292098056,24.0078125
32.14285714285714,23.57142857142857,23.905009244181986,13.93759932993059,24.007568359375
32.14285714285714,25.714285714285715,24.996774320916916,14.452160036539594,24.00732421875
32.14285714285714,27.857142857142858,26.03648660280603,16.975719474443913,24.007080078125
32.14285714285714,30.0,27.029947134554067,20.523426662683473,24.006591796875
32.14285714285714,32.14285714285714,27.981982391661123,23.477878209196366,24.005615234375
35.0,15.0,19.602053996181805,9.535640150971524,24.0078125
35.0,17.142857142857142,21.05968084903627,10.961167032108461,24.00830078125
35.0,19.285714285714285,22.420492710618007,12.406817272549137,24.007568359375
35.0,21.42857142857143,23.6993779449725,14.047703855813403,24.00732421875
35.0,23.57142857142857,24.907790590905254,14.7010177873339,24.007080078125
35.0,25.714285714285715,26.054775033231778,17.46493651042772,24.0068359375
35.0,27.857142857142858,27.14762503945748,21.373787155750268,24.00634765625
35.0,30.0,28.19232596224401,23.71502081163956,24.00537109375
35.0,32.14285714285714,29.19386194029383,22.31297337749423,24.00439453125
35.0,34.285714285714285,30.156435598718414,19.356908262391872,24.003662109375
37.85714285714286,15.0,20.31995393040596,10.394849658028985,24.008056640625
