source_id,true_cluster,mass_msun,evolved,phot_g_mean_mag,bp_rp,parallax,parallax_error,pmra,pmdec,g_mag_error
SIM-Pleiades-0000,Pleiades,0.3968306143421821,False,14.518752269285175,1.1368109342142465,7.217272482457609,0.07276946730625261,20.91147817055049,-43.85015083196542,0.0012589822435417535
SIM-Pleiades-0001,Pleiades,0.291659782864393,False,16.054443361717023,1.4864129184071013,7.473478953284216,0.14283382494942404,20.567024183528158,-44.95057765341391,0.0033326532276915337
SIM-Pleiades-0002,Pleiades,0.2035915740658967,False,18.051910797186657,2.0013324786756397,7.180847477765983,0.45992053897061136,20.02663248823777,-44.45973174308326,0.012797616169118342
SIM-Pleiades-0003,Pleiades,0.15669850083022457,False,19.58556644594797,2.331719807740638,7.421070912392117,1.0723470845112317,19.687989150948937,-46.06117625819164,0.03241156948370772
SIM-Pleiades-0004,Pleiades,0.481362608062734,False,13.570717320586414,0.9356140736478148,7.2058241092711945,0.058567755603951284,19.754163020505025,-46.307895842413814,0.0007855918534650428
SIM-Pleiades-0005,Pleiades,0.29163016544646875,False,16.01644721324935,1.4850477878469537,7.518738097056162,0.1408176627523045,19.985263384096477,-46.07368359482662,0.0032738484969422146
SIM-Pleiades-0006,Pleiades,0.37373540572561453,False,14.736030737719135,1.1985572980643617,7.621196516624119,0.07604136263008857,18.86618194752122,-45.8154258152711,0.001368045421002952
SIM-Pleiades-0007,Pleiades,0.4401256769205831,False,13.927339531642641,1.02361983495207,7.437610246494689,0.06389286579885164,18.574500660493936,-43.86034362311519,0.000963095526628388
SIM-Pleiades-0008,Pleiades,0.3271919931565433,False,15.41367389036845,1.345122706774036,7.4310925477551715,0.10508048061320807,19.963019807389173,-44.34174153162295,0.0022315140178852354
SIM-Pleiades-0009,Pleiades,0.18279687369030317,False,18.69826780913364,2.1778920326119913,7.233771183892202,0.6153438885206908,20.5788020554273,-45.64617372668965,0.017460316655620724
SIM-Pleiades-0010,Pleiades,0.48680218668418146,False,13.379153599073405,0.9210802492498188,7.744118195951281,0.055667824741018265,18.971821955685396,-45.67164429661535,0.0006889274913672754
SIM-Pleiades-0011,Pleiades,0.20266463946270544,False,18.108417801412198,1.9615368471233852,7.059289155202498,0.4819773956207427,19.914458833263403,-46.82093214731145,0.013459321868622283
SIM-Pleiades-0012,Pleiades,0.30374759924379313,False,15.839916953671198,1.4405558294670613,7.345571146816502,0.1304477835001717,20.556335844569823,-45.635058159954454,0.002971393685421674
SIM-Pleiades-0013,Pleiades,0.2861454123780539,False,16.084393723104014,1.522728800020058,7.740981957436901,0.145186807598215,19.437545946634515,-45.9416097833666,0.003401281888281271
SIM-Pleiades-0014,Pleiades,0.2928713240718501,False,16.09662649410952,1.4838799797763653,7.260371716591566,0.145873336120233,21.334231652634347,-45.946461499206364,0.003421305636840129
SIM-Pleiades-0015,Pleiades,0.27064430735350203,False,16.455062626883528,1.6041607403619151,7.236028054425979,0.16706240714122517,18.606580131589705,-45.19468182552363,0.004039320208285733
