AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0.4969959259033203,0.6583333611488342,0.6533623337745667,0.5427501201629639,0.6777777671813965,0.6253000497817993
0.5504685640335083,0.6638888716697693,0.6346710324287415,0.5859242081642151,0.6777777671813965,0.6227551102638245
0.6011748313903809,0.6638888716697693,0.6261835098266602,0.6141181588172913,0.6777777671813965,0.6182471513748169
0.6080993413925171,0.6638888716697693,0.6243618130683899,0.6697286367416382,0.6777777671813965,0.614518404006958
0.6521015167236328,0.6638888716697693,0.6144121885299683,0.6917043924331665,0.6777777671813965,0.6014358997344971
0.7135792970657349,0.668055534362793,0.5983111262321472,0.7108535766601562,0.6944444179534912,0.5897769331932068
0.754888653755188,0.7347221970558167,0.5652675032615662,0.7208875417709351,0.7555555701255798,0.5740193724632263
0.7746464014053345,0.7847222089767456,0.5343264937400818,0.7235020399093628,0.75,0.5536271929740906
0.8127096891403198,0.8125,0.4938119351863861,0.7066845893859863,0.7611111402511597,0.5463666319847107
0.7765742540359497,0.8125,0.5077550411224365,0.7353730797767639,0.7666666507720947,0.5303575992584229
0.8127269744873047,0.8152777552604675,0.46854814887046814,0.7301441431045532,0.7833333611488342,0.5231669545173645
0.8140279650688171,0.8236111402511597,0.4598675072193146,0.7427219152450562,0.7722222208976746,0.511222779750824
0.8266839981079102,0.8111110925674438,0.4509938061237335,0.7607405185699463,0.7833333611488342,0.5012160539627075
0.8331243991851807,0.8263888955116272,0.4345271587371826,0.7658281326293945,0.7722222208976746,0.4978080689907074
0.8324847221374512,0.8263888955116272,0.43693041801452637,0.772117018699646,0.7777777910232544,0.49040573835372925
0.8515552282333374,0.8263888955116272,0.41643384099006653,0.7789711952209473,0.7722222208976746,0.48135900497436523
0.8423917293548584,0.8305555582046509,0.42060208320617676,0.7907716035842896,0.7611111402511597,0.47485750913619995
0.8498781323432922,0.824999988079071,0.41846874356269836,0.7944459915161133,0.800000011920929,0.4651668071746826
0.8616653680801392,0.8291666507720947,0.40307146310806274,0.8067410588264465,0.7833333611488342,0.45169660449028015
0.8644533157348633,0.8486111164093018,0.39626842737197876,0.815644383430481,0.7944444417953491,0.44346219301223755
0.873759388923645,0.8361111283302307,0.38975879549980164,0.8234878778457642,0.800000011920929,0.4354235827922821
0.8769494295120239,0.8527777791023254,0.3811112344264984,0.8237705230712891,0.7888888716697693,0.4361739158630371
0.8804159760475159,0.8486111164093018,0.3827701210975647,0.8208733797073364,0.8111110925674438,0.4340636730194092
0.87781822681427,0.8458333611488342,0.376974493265152,0.8208026885986328,0.7944444417953491,0.43506160378456116
0.8900852203369141,0.8430555462837219,0.3639257252216339,0.8278688192367554,0.8055555820465088,0.42718443274497986
0.8944465517997742,0.8513888716697693,0.35578563809394836,0.8399519324302673,0.8277778029441833,0.41081610321998596
0.9041546583175659,0.8527777791023254,0.34308603405952454,0.8379734754562378,0.8166666626930237,0.41270720958709717
0.8978742361068726,0.8694444298744202,0.34651362895965576,0.844120979309082,0.8222222328186035,0.40883293747901917
0.9053865671157837,0.8638888597488403,0.3406158983707428,0.8465941548347473,0.8222222328186035,0.41366544365882874
0.9026850461959839,0.8638888597488403,0.3428010642528534,0.8471595048904419,0.8277778029441833,0.42233505845069885
0.9134522676467896,0.8791666626930237,0.33189573884010315,0.8517524003982544,0.8166666626930237,0.4068956971168518
0.9123586416244507,0.875,0.32432132959365845,0.8470181226730347,0.8222222328186035,0.4060061275959015
0.9152201414108276,0.8791666626930237,0.3209848403930664,0.8601611256599426,0.8388888835906982,0.38297009468078613
0.9090174436569214,0.875,0.3233258128166199,0.8584651947021484,0.8222222328186035,0.40089765191078186
0.9174202680587769,0.8847222328186035,0.31369471549987793,0.8648247718811035,0.8277778029441833,0.3886657655239105
0.9205971956253052,0.8902778029441833,0.3068602681159973,0.864471435546875,0.8388888835906982,0.38298848271369934
0.9237136840820312,0.8847222328186035,0.3042684495449066,0.8725975751876831,0.855555534362793,0.35941120982170105
0.9257019758224487,0.8930555582046509,0.29785558581352234,0.8741520643234253,0.8444444537162781,0.36373287439346313
0.9186737537384033,0.8888888955116272,0.304177463054657,0.871113657951355,0.8500000238418579,0.3562808036804199
0.9280015230178833,0.8972222208976746,0.2904805839061737,0.8778970837593079,0.8444444537162781,0.3653735816478729
0.9422827959060669,0.8986111283302307,0.26706263422966003,0.8778971433639526,0.8333333134651184,0.36687180399894714
0.9389544129371643,0.9013888835906982,0.27291566133499146,0.878533124923706,0.8222222328186035,0.37196463346481323
0.9385049939155579,0.9013888835906982,0.2660520672798157,0.8793103694915771,0.8222222328186035,0.3958570659160614
0.9381808042526245,0.9152777791023254,0.2635014057159424,0.8807942867279053,0.8277778029441833,0.37307488918304443
0.9364432096481323,0.9125000238418579,0.2635205388069153,0.8835500478744507,0.8222222328186035,0.37900224328041077
0.9443056583404541,0.9166666865348816,0.25354093313217163,0.8858818411827087,0.8277778029441833,0.3730577826499939
0.9403809309005737,0.9111111164093018,0.2568551301956177,0.887083113193512,0.8333333134651184,0.35774290561676025
